XCoord,YCoord,NUMBER,BLDGABBR,BLDGNAME
1069746.16621002,3112881.75371038,8601,NULL,TEEX - LAW UXO Search Grid Pavilion
1081032.43345000,3111887.33665000, ,NULL,NULL
1081261.62826560,3111910.82037602, ,NULL,NULL
1081206.18545257,3111918.59512337, ,NULL,NULL
1081218.81930000,3111908.80775000, ,NULL,NULL
1081226.70570000,3111916.34800000, ,NULL,NULL
1081199.39392162,3111893.48675636, ,NULL,NULL
1070168.48233268,3113965.39072580, ,NULL,NULL
1080983.60615000,3112017.50085000, ,NULL,NULL
1080985.34340000,3111980.30865000, ,NULL,NULL
1080966.04540000,3111934.20215000, ,NULL,NULL
1080941.60298702,3111911.98923423, ,NULL,NULL
1080971.78470401,3111995.62243280, ,NULL,NULL
1080811.81429842,3112409.43756690, ,NULL,NULL
1080845.94380000,3112366.01720000, ,NULL,NULL
1080929.31396449,3112354.08494523, ,NULL,NULL
1080837.10283429,3112464.12581547, ,NULL,NULL
1070096.17995585,3113602.79275000,7909,NULL,TEEX EUPWTI Building
1070040.86625000,3113588.79034272,7906,NULL,TEEX ITSI Shop
1069789.67490562,3113563.72038368,7040,NULL,The Western Dairy Transport Classroom Building
1070021.25750316,3113563.34698663,7901,NULL,TEEX - ITSI
1070167.04444726,3113556.35105405,7900,NULL,TEEX ITSI Offices
1069794.93250170,3113541.73399692,7045,NULL,U.S.D.A. Hangar
1069773.25118399,3113534.54464754,7043,NULL,U.S.D.A. Hangar No.3
1069754.81569301,3113533.98345240,7044,NULL,U.S.D.A. Hangar No.4
1070032.10756303,3113505.18926989,7903,NULL,TEEX Covered Training Area
1069769.91034686,3114836.37453861,6502,NULL,Energy Systems Lab
1069828.95629037,3114247.14957605, ,NULL,NULL
1069816.70372918,3114249.81231089,8081,NULL,TEEX - ITSI Tech Bldg
1075983.05951394,3105637.92832861,4004,NULL,Beef Cattle Center Equip Storage
1075996.25900000,3105604.45000000,4003,NULL,Beef Cattle Center Feed Mill
1076043.00493892,3105547.75803384,4016,NULL,Farrowing/Nursery
1076061.02850000,3105516.48350000,4012,NULL,Sheep Feeding
1076137.48138379,3105534.43246830,4010,NULL,Nutrition/Physiology Center
1076125.78164331,3105504.69143341,4014,NULL,Cattle Processing
1076018.73733752,3105460.97850870,4015,NULL,Interdisciplinary Barn
1076080.95750000,3105478.55250000,4013,NULL,Cattle Feeding
1076046.16314382,3105387.23222600,4017,NULL,Compost Shed
1076411.17514369,3105583.32516029,4025,NULL,Thomsen Animal Euthenics Center
1076399.52874346,3105669.38651368,4021,NULL,Livestock Housing
1076343.63225358,3105682.01796545,4020,NULL,Sheep & Goat Center
1076394.26661223,3105705.34275517,4022,NULL,Isolation Barn
1076266.03499498,3105857.02409300,4001,NULL,White (G.R.) Conference Center
1073747.71331126,3104342.00086235,0055,NULL,Storage Shed
1073768.01538936,3104381.97947541,0046,NULL,Farm Service Northwest Shed
1073767.71817516,3104401.49941170,0040,NULL,Farm Service Office Bldg
1073781.03647152,3104309.35525083,0051,NULL,Field Lab Implement Shed
1073783.00504587,3104358.53767342,0045,NULL,Farm Service West Wing Shed
1073790.46534651,3104408.75250725,0041,NULL,Farm Service Lab & Office
1073823.09935618,3104359.89744606,0043,NULL,Farm Service Maint Shed
1073821.97136280,3104395.45138431,0042,NULL,Farm Service East Wing
1073821.51400422,3104282.80565796,0054,NULL,Sample Processing Laboratory
1073839.46703962,3104291.62398718,NULL,NULL,NULL
1073836.30228160,3104346.68908112, ,NULL,NULL
1073860.01190938,3104332.07320425,0050,NULL,FIELD LAB EQUIPMENT SHED
1073519.28400000,3104507.42150000, ,NULL,NULL
1074114.96967706,3104500.26138760, ,NULL,NULL
1074114.05186875,3104508.39132951, ,NULL,NULL
1074135.31043046,3104495.42770697, ,NULL,NULL
1074131.45958116,3104513.21427206, ,NULL,NULL
1074616.34500000,3102042.65400000, ,NULL,NULL
1074954.18957749,3101649.53036988,1517,NULL,Horticulture Cabin
1074657.24132073,3102298.35637456, ,NULL,NULL
1074789.21215724,3102264.32283755, ,NULL,NULL
1074851.32275270,3102265.97462369, ,NULL,NULL
1073681.09168348,3103617.10296226, ,NULL,NULL
1073703.29245880,3103594.72561452, ,NULL,NULL
1073510.48206618,3103925.26218482,NULL,NULL,NULL
1073578.30194552,3103892.02671041,0057,NULL,Hatchery Bldg
1073641.03947234,3103917.73221520,0039,ARTF,Aquaculture Research Teaching Facility
1073682.21183877,3103909.07200072,0052,NULL,Pump House
1073694.66427163,3103926.74702481,0047,NULL,Aquatic Research Center
1073704.35233681,3103915.77592280,0053,NULL,Hatchery
1073916.69716678,3103609.49499649, ,NULL,NULL
1073931.64744637,3103606.79718504, ,NULL,NULL
1073957.31581568,3103620.96637938, ,NULL,NULL
1073962.12260610,3103637.45681630, ,NULL,NULL
1075159.80080731,3101448.84690922, ,NULL,NULL
1075192.15533980,3101468.44054411, ,NULL,NULL
1075344.59254239,3100014.95934542, ,NULL,NULL
1075350.16900000,3100011.35050000, ,NULL,NULL
1074984.66883686,3101569.32131505, ,NULL,NULL
1075167.53576187,3101494.09916444, ,NULL,NULL
1075177.43757918,3101487.43185006, ,NULL,NULL
1075312.95700000,3102453.28200000, ,NULL,NULL
1075843.35352310,3101096.19883684, ,NULL,NULL
1075805.29906643,3101161.85835590,0007,NULL,Maintenance Machine Shed
1075805.76015063,3101212.26889416,0010,NULL,Implement Barn
1075881.40923399,3101186.14873670,0014,NULL,Implement Storage Shed
1075843.92300000,3101213.49900000, ,NULL,NULL
1075902.87635797,3100957.31700005,0113,NULL,Farm Superintendent House
1075891.17700000,3101117.37150000,0114,NULL,Office Metal Building
1076115.07650000,3100689.27450000, ,NULL,NULL
1075759.43364165,3103317.40877500, ,NULL,NULL
1080142.11496705,3106344.53015017, ,NULL,NULL
1080525.55747431,3113380.37020715,5200,NULL,Metal Building
1081802.86275000,3112071.34045000,8906,NULL,Transportation Services Barricade Storage
1081996.74484095,3107922.94436579,1365,NULL,ESTI EMS Classroom
1082018.59568319,3107913.18135797,1367,NULL,ESTI EMS Office
1082053.18153133,3107898.50867624, ,NULL,NULL
1082040.34122943,3107903.40664078,1364,NULL,EMS Classroom/EMS Storage
1082062.17256457,3107893.60376677,1359,NULL,ESTI Hazardous Materials Classrm/Mrkting Office
1082083.88857017,3107883.81487458,1358,NULL,ESTI Business Office
1082885.05119684,3111867.39975560,0377,SUP3,Satellite Utility Plant No. 3
1082869.93735291,3112180.50293842,0468,LIBR,Evans Library
1083068.92487452,3111929.95074516,0400,SPEN,Spence Hall - Dorm 1
1083018.24045382,3111887.18031269,0401,KIES,Kiest Hall - Dorm 2
1083177.70052899,3111824.05020039,0406,LEON,Leonard Hall - Dorm 7
1083103.64734520,3111761.65188966,0407,HARL,Harrell Hall - Dorm 8
1080045.98641204,3106421.80856235, ,NULL,NULL
1080018.91301201,3106431.90702735,4052,TPSP,WWTP Secondary Pump Building
1080011.18673039,3106418.32884197, ,NULL,NULL
1080018.25760640,3106406.23309865, ,NULL,NULL
1079977.29550000,3106407.21650000,4053,TPDB,WWTP Disinfection Building
1079974.79328965,3106401.48171788, ,NULL,NULL
1080103.85810923,3106391.42861164, ,NULL,NULL
1080106.12655205,3106386.62290995, ,NULL,NULL
1080148.68949961,3106385.64173458, ,NULL,NULL
1080079.37948996,3106376.04348330, ,NULL,NULL
1080088.32771581,3106361.11849775, ,NULL,NULL
1080125.30076721,3106371.59956679, ,NULL,NULL
1080135.85649294,3106358.96504334,4054,TPBB,WWTP Digester Boiler Building
1080047.65997510,3106373.01412583, ,NULL,NULL
1080098.10250813,3106331.19495802, ,NULL,NULL
1080092.27264144,3106340.65915146, ,NULL,NULL
1080075.91779186,3106343.83782181,4051,TPPP,WWTP Primary Pump Building
1080087.26412371,3106330.82533829, ,NULL,NULL
1080072.79510497,3106315.75530958, ,NULL,NULL
1080077.96452180,3106325.30470922, ,NULL,NULL
1080066.94053675,3106325.15904211, ,NULL,NULL
1080092.09521120,3106303.90385248, ,NULL,NULL
1081599.37251070,3111892.19698221,1010,VIV2,TVMC-Small Animal Research Building
1081534.80831727,3111898.92357713, ,NULL,NULL
1083119.91992576,3111901.58821881,0402,BRIG,Briggs Hall - Dorm 3
1083200.79484454,3111914.55162639,0394,UNDE,Underwood Residence Hall
1081736.22501013,3111906.15667320,0815,ERLB,Entomology Research Lab
1079316.22309317,3111912.21080755,1153,FREE,Freeman Arena
1079281.54964387,3111864.79082677,1152,NULL,Equine Center Restroom
1078982.78590000,3111871.89880000,1492,NULL,Classroom At Challenge Course
1082672.13397111,3111885.10281994,0416,BIZL,Bizzell Hall
1083174.29309515,3111888.39767205,0404,GAIN,Gainer Hall - Dorm 5
1081520.23678594,3111845.90869926,1041,VMDL,Texas Vet Med Diagnostic Lab
1081484.36214507,3111861.13682178, ,NULL,NULL
1081254.20974593,3111882.35446397,1192,VMSB,TVMC-Surgery Building
1081552.39528444,3111877.27156464,1020,VIV3,Vivarium III
1081920.86326265,3111878.99416302,1034,AEPM,AG Engineering Power & Machinery Building
1081479.47750111,3111846.56313524, ,NULL,NULL
1081408.21003665,3111851.48211380,4634,FSSB,Variety Testing and Sorghum Breeding
1081318.78525000,3111839.23815000,1234,NULL,Dry Feed Storage Facility
1081387.35138286,3111830.27533351,1068,NULL,Crop Testing
1083037.66167204,3111832.16333761,0403,FOUN,Fountain Hall - Dorm 4
1081980.43349594,3111829.52200282,1030,AESH,AG Engr Res Lab & Shop
1082033.57563224,3111819.58018998,1084,NULL,West Campus Switching Station
1081163.77423494,3111809.15023977,0943,NULL,TVMC-Barn No 2
1080604.57435398,3111796.98455198,1225,NULL,TVMC-Animal Isolation Bldg #6
1083378.61881751,3111823.01659486, ,NULL,NULL
1083433.76203591,3111936.58964557, ,NULL,NULL
1081343.96629355,3108385.83946961, ,NULL,NULL
1081072.78856385,3109194.17146327,1272,NULL,Easterwood Airport Control Tower
1081080.54265000,3109211.98425000,1273,NULL,Easterwood Airport Electrical Vault
1080651.85820259,3112116.17919557, ,NULL,NULL
1080667.53100000,3111992.20750000, ,NULL,NULL
1080677.09645129,3112015.82130843, ,NULL,NULL
1080687.80300000,3112102.06450000, ,NULL,NULL
1080688.12710976,3112129.72133732, ,NULL,NULL
1080672.93798714,3112210.49578563, ,NULL,NULL
1080748.89611433,3112093.57978917, ,NULL,NULL
1080712.33683805,3112159.27151436, ,NULL,NULL
1080801.46696566,3112111.96957088, ,NULL,NULL
1080752.76013964,3112225.36315215, ,NULL,NULL
1080794.80913858,3112217.60744549, ,NULL,NULL
1080811.87528208,3112123.59066344, ,NULL,NULL
1080825.98565188,3112137.05219667, ,NULL,NULL
